ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
149	115	2	2	0.000000	13.513043	12.939130	0.000000	0.000000	0	0	0
150	201	2	2	0.000000	20.781095	19.820896	0.000000	0.000000	0	0	0
151	15	1	1	0.000000	23.133333	23.133333	0.000000	0.000000	0	0	0
152	63	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
153	1	1	4	0.000000	68.000000	2.000000	0.000000	0.000000	0	0	0
154	1	1	2	0.000000	15.000000	15.000000	0.000000	0.000000	0	0	0
155	0	2	2	Inf	Inf	Inf	Inf	Inf	0	0	0
156	1	5	2	0.000000	134.000000	90.000000	0.000000	0.000000	0	0	0
157	25	2	1	0.000000	13.520000	13.520000	0.000000	0.000000	0	0	0
158	4	1	3	0.000000	86.750000	24.000000	0.000000	0.000000	0	0	0
159	1	2	2	0.000000	89.000000	25.000000	0.000000	0.000000	0	0	0
160	2	2	1	0.000000	62.000000	14.500000	0.000000	0.000000	0	0	0
161	1	2	1	0.000000	32.000000	16.000000	0.000000	0.000000	0	0	0
162	20	4	1	0.000000	19.350000	9.400000	0.000000	0.000000	0	0	0
163	2	1	1	0.000000	18.000000	15.000000	0.000000	0.000000	0	0	0
164	4	1	3	0.000000	21.750000	17.750000	0.000000	0.000000	0	0	0
165	175	1	2	0.000000	19.662857	19.405714	0.000000	0.000000	0	0	0
166	8	1	2	0.000000	21.000000	21.000000	0.000000	0.000000	0	0	0
167	185	1	2	0.000000	15.027027	14.454054	0.000000	0.000000	0	0	0
168	2	1	2	0.000000	5.000000	5.000000	0.000000	0.000000	0	0	0
169	2	2	2	0.000000	15.000000	15.000000	0.000000	0.000000	0	0	0
170	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
171	1	1	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
172	1	2	2	0.000000	12.000000	12.000000	0.000000	0.000000	0	0	0
173	59	1	2	0.000000	18.864407	18.288136	0.000000	0.000000	0	0	0
174	297	2	2	0.000000	14.902357	14.276094	0.000000	0.000000	0	0	0
175	10	1	1	0.000000	15.500000	15.500000	0.000000	0.000000	0	0	0
176	1	1	2	0.000000	70.000000	35.000000	0.000000	0.000000	0	0	0
177	1	2	1	0.000000	76.000000	38.000000	0.000000	0.000000	0	0	0
